Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted,dn,mavg,up,direction
2023-02-18,98.839996,98.889999,96.089996,96.260002,39021000,94.26717,92.14094415,96.08216592,100.0233877,Decreasing
2023-02-19,96,96.760002,95.800003,96.040001,35374200,94.051723,92.13411487,96.07349932,100.0128838,Increasing
2023-02-22,96.309998,96.900002,95.919998,96.879997,34280800,94.874329,92.46829552,95.88099927,99.29370301,Increasing
2023-02-23,96.400002,96.5,94.550003,94.690002,31942600,92.729673,92.81145818,95.64033268,98.46920719,Decreasing
2023-02-24,93.980003,96.379997,93.32,96.099998,36255700,94.110479,93.26994412,95.42133268,97.57272125,Increasing
2023-02-25,96.050003,96.760002,95.25,96.760002,27582700,94.756818,93.37738398,95.51099957,97.64461515,Increasing
2023-02-26,97.199997,98.019997,96.580002,96.910004,28991100,94.903715,93.61258879,95.68616642,97.75974404,Decreasing
2023-02-29,96.860001,98.230003,96.650002,96.690002,35216300,94.688268,93.57014711,95.72850003,97.88685296,Decreasing
2023-03-01,97.650002,100.769997,97.419998,100.529999,50407100,98.448766,93.16702846,95.89816658,98.6293047,Increasing
2023-03-02,100.510002,100.889999,99.639999,100.75,33169600,98.664213,92.84527706,96.17283317,99.50038927,Increasing
2023-03-03,100.580002,101.709999,100.449997,101.5,36955700,99.398686,92.46676796,96.44599983,100.4252317,Increasing
2023-03-04,102.370003,103.75,101.370003,103.010002,46055100,100.877427,91.93797669,96.76283322,101.5876897,Increasing
2023-03-07,102.389999,102.830002,100.959999,101.870003,35828900,99.761029,91.88580523,97.11333333,102.3408614,Decreasing
2023-03-08,100.779999,101.760002,100.400002,101.029999,31561900,98.938415,92.07566689,97.43733338,102.7989999,Increasing
2023-03-09,101.309998,101.580002,100.269997,101.120003,27202400,99.026556,92.29184706,97.73916675,103.1864864,Decreasing
2023-03-10,101.410004,102.239998,100.150002,101.169998,33513600,99.075516,92.57125624,98.05316683,103.5350774,Decreasing
2023-03-11,102.239998,102.279999,101.5,102.260002,27408200,100.142954,93.11782189,98.47033362,103.8228453,Increasing
2023-03-14,101.910004,102.910004,101.779999,102.519997,25076100,100.397566,93.73082861,98.89883362,104.0668386,Increasing
2023-03-15,103.959999,105.18,103.849998,104.580002,40067700,102.414924,93.78324026,99.32400032,104.8647604,Increasing
2023-03-16,104.610001,106.309998,104.589996,105.970001,38303500,103.776147,93.62270996,99.73050017,105.8382904,Increasing
2023-03-17,105.519997,106.470001,104.959999,105.800003,34420700,103.609668,93.65364611,100.1636669,106.6736878,Increasing
2023-03-18,106.339996,106.5,105.190002,105.919998,44205200,103.727179,93.95272123,100.6471668,107.3416124,Decreasing
2023-03-21,105.93,107.650002,105.139999,105.910004,35502700,103.717391,94.29002414,101.1305003,107.9709765,Decreasing
2023-03-22,105.25,107.290001,105.209999,106.720001,32444400,104.51062,95.04091799,101.6885002,108.3360825,Increasing
2023-03-23,106.480003,107.07,105.900002,106.129997,25703500,103.93283,95.99151634,102.2435003,108.4954843,Decreasing
2023-03-24,105.470001,106.25,104.889999,105.669998,26133000,103.482354,96.93996148,102.7108335,108.4817056,Increasing
2023-03-28,106,106.190002,105.059998,105.190002,19411400,103.012296,97.83427383,103.1263335,108.4183932,Decreasing
2023-03-29,104.889999,107.790001,104.879997,107.68,31190100,105.450744,98.84025782,103.606,108.3717422,Increasing
2023-03-30,108.650002,110.419998,108.599998,109.559998,45601100,107.291821,99.05589679,104.1036667,109.1514366,Increasing
2023-03-31,109.720001,109.900002,108.879997,108.989998,25888400,106.733621,99.31956576,104.5451667,109.7707676,Decreasing
